standardized_name,earliest_filing_year,ipc_class_subclass,short_title,cluster_level1,group,n_patents,frac_patents,n_uspto,frac_uspto,n_usep,frac_usep,n_triadic,frac_triadic,n_ip5,frac_ip5,n_green,frac_green,n_basic,n_applied,frac_basic,mean_distance_to_science,mean_scope,mean_family_size,mean_backward_cites,mean_npl_cites,mean_originality,mean_radicalness,mean_forward_cites_5yr,mean_generality,frac_top10pct_forward
SAUDI ARABIAN OIL COMPANY,2022,A62C,Fire-Fighting,Healthcare,Biotechnology and Healthcare,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SAUDI ARABIAN OIL COMPANY,2022,A62D,Extinguishing Fires,Chemistry,Physical Sciences and Engineering,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SAUDI ARABIAN OIL COMPANY,2022,C10C,"Working-Up Tar, Pitch, Asphalt, Bitumen",Chemistry,Physical Sciences and Engineering,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
SAUDIA BASIC INDUSTRIES CORPORATION,2000,B01J,Chemical Or Physical Processes,Chemistry,Physical Sciences and Engineering,1,0.0333333333333333,1,0.0333333333333333,1,0.0333333333333333,1,0.0333333333333333,0,0,1,0.0333333333333333,0.0333333333333333,0,1,1,,0,0,0,,,0.0029296875,0.871007880547491,1
SAUDIA BASIC INDUSTRIES CORPORATION,2000,C07B,General Methods Of Organic Chemistry,Chemistry,Physical Sciences and Engineering,1,0.0333333333333333,1,0.0333333333333333,1,0.0333333333333333,1,0.0333333333333333,0,0,1,0.0333333333333333,0.0333333333333333,0,1,1,,0,0,0,,,0.0029296875,0.871007880547491,1
SAUDIA BASIC INDUSTRIES CORPORATION,2000,C07C,Acyclic Or Carbocyclic Compounds,Chemistry,Physical Sciences and Engineering,1,0.0333333333333333,1,0.0333333333333333,1,0.0333333333333333,1,0.0333333333333333,0,0,1,0.0333333333333333,0.0333333333333333,0,1,1,,0,0,0,,,0.0029296875,0.871007880547491,1
SAUDIA BASIC INDUSTRIES CORPORATION,2007,B01J,Chemical Or Physical Processes,Chemistry,Physical Sciences and Engineering,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,0,0,0.0357142857142857,0,1,2,,0,0,0,,,0.0009765625,0.67745057375916,0
SAUDIA BASIC INDUSTRIES CORPORATION,2007,C07B,General Methods Of Organic Chemistry,Chemistry,Physical Sciences and Engineering,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,0,0,0.0357142857142857,0,1,2,,0,0,0,,,0.0009765625,0.67745057375916,0
SAUDIA BASIC INDUSTRIES CORPORATION,2007,C07C,Acyclic Or Carbocyclic Compounds,Chemistry,Physical Sciences and Engineering,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,1,0.0357142857142857,0,0,0.0357142857142857,0,1,2,,0,0,0,,,0.0009765625,0.67745057375916,0
SA¤D KITANE,2003,B09B,Disposal Of Solid Waste,Physics,Physical Sciences and Engineering,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,,,0,,0
