standardized_name,earliest_filing_year,ipc_class_subclass,short_title,cluster_level1,group,n_patents,frac_patents,n_uspto,frac_uspto,n_usep,frac_usep,n_triadic,frac_triadic,n_ip5,frac_ip5,n_green,frac_green,n_basic,n_applied,frac_basic,mean_distance_to_science,mean_scope,mean_family_size,mean_backward_cites,mean_npl_cites,mean_originality,mean_radicalness,mean_forward_cites_5yr,mean_generality,frac_top10pct_forward
ACCESSPHOTONIC NETWORKS,2003,H04J,Multiplex Communication,Telecommunication,Electronics and Telecommunication,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,,0,0,0,,,0,,0
ACHRAF ABID,2016,A47J,Kitchen Equipment,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ACHRAF HAMMAMI,2021,B27N,"Manufacture By Dry Processes Of Articles, With Or Without Organic Binding Agents",Fabrication,Consumer Products and Fabrication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ACHRAF IYADH LACHHAB,2022,G09B,Educational Or Demonstration Appliances,Information,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ACTIA ENGINEERING SERVICES AES ,2019,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ACTIA ENGINEERING SERVICES AES ,2020,H01H,Electric Switches,Electronics,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ACTIA ENGINEERING SERVICES AES ,2020,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ACTIA GROUP,2021,B60R,"Vehicles, Or Vehicle Parts",Transportation,Machinery and Transportation,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,0,0,0,,,0,,0
ACTIA GROUP,2021,B62J,Cycle Saddles Or Seats,Transportation,Machinery and Transportation,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,2,,0,0,0,,,0,,0
ACTIA GROUP,2021,G01R,Measuring Electric Variables,Information,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,,0,0,0,,,0,,0
ACTIA GROUP,2021,G01S,Radio Direction-Finding,Information,Electronics and Telecommunication,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,2,,0,0,0,,,0,,0
ACTIA GROUP,2021,H01H,Electric Switches,Electronics,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,,0,0,0,,,0,,0
ACTIA GROUP,2022,G07C,Time Or Attendance Registers,Telecommunication,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,,0,0,0,,,0,,0
ACTIA GROUP,2022,H04L,Transmission Of Digital Information,Telecommunication,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,,0,0,0,,,0,,0
ACTIA GROUP,2023,A61B,Diagnosis; Surgery,Healthcare,Biotechnology and Healthcare,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,,0,0,0,,,0,,0
ACTIA GROUP,2023,B60W,Conjoint Control Of Vehicle Sub-Units Of Different Type Or Different Function,Transportation,Machinery and Transportation,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,,0,0,0,,,0,,0
ACTIA GROUP,2023,G08B,Signalling Or Calling Systems; Order Telegraphs,Telecommunication,Electronics and Telecommunication,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,,0,0,0,,,0,,0
ADAM BOURAS,2007,H02P,Control Or Regulation Of Electric Motors,Electronics,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ADAM BOURAS,2009,F03B,Machines Or Engines For Liquids,Machines,Machinery and Transportation,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,,,0,,0
ADC TELECOMMUNICATIONS,2002,H01P,Waveguides,Electronics,Electronics and Telecommunication,1,0.0196078431372549,1,0.0196078431372549,1,0.0196078431372549,1,0.0196078431372549,1,0.0196078431372549,0,0,0,0.0196078431372549,0,3,,0,0,0,,,0.0068359375,0.5018152398216,1
ADC TELECOMMUNICATIONS,2002,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,1,0.0196078431372549,1,0.0196078431372549,1,0.0196078431372549,1,0.0196078431372549,1,0.0196078431372549,0,0,0,0.0196078431372549,0,3,,0,0,0,,,0.0068359375,0.5018152398216,1
ADC TELECOMMUNICATIONS,2003,H01P,Waveguides,Electronics,Electronics and Telecommunication,1,0.0113636363636364,1,0.0113636363636364,1,0.0113636363636364,1,0.0113636363636364,1,0.0113636363636364,0,0,0.0113636363636364,0,1,2,,0,0,0,,,0.0146484375,0.594497442278446,1
ADC TELECOMMUNICATIONS,2003,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,2,0.0639952153110048,2,0.0639952153110048,2,0.0639952153110048,2,0.0639952153110048,2,0.0639952153110048,0,0,0.0639952153110048,0,1,2,,0,0,0,,,0.00501058703271028,0.573575680519323,1
ADC TELECOMMUNICATIONS,2003,H04Q,Selecting,Telecommunication,Electronics and Telecommunication,1,0.0113636363636364,1,0.0113636363636364,1,0.0113636363636364,1,0.0113636363636364,1,0.0113636363636364,0,0,0.0113636363636364,0,1,2,,0,0,0,,,0.0146484375,0.594497442278446,1
